SoortMisdrijf,RegioS,Perioden,Unnamed: 0,ID,TotaalGeregistreerdeMisdrijven_1,GeregistreerdeMisdrijvenRelatief_2,GeregistreerdeMisdrijvenPer1000Inw_3,TotaalOpgehelderdeMisdrijven_4,OpgehelderdeMisdrijvenRelatief_5,RegistratiesVanVerdachten_6
Bedrog,Zeeland (PV),2013,140856,140856,850.0,4.0,2.2,360.0,162.7,420.0
Bedrog,Zeeland (PV),2014,140860,140860,655.0,4.0,1.7000000000000002,210.0,134.0,320.0
Bedrog,Zeeland (PV),2015,140864,140864,1630.0,10.0,4.2,110.0,33.0,140.0
Bedrog,Zeeland (PV),2016,140868,140868,1990.0,12.0,5.1,90.0,53.7,140.0
Bedrog,Zeeland (PV),2017,140872,140872,1640.0,12.0,4.1,100.0,54.300000000000004,120.0
Bedrog,Zeeland (PV),2018,140876,140876,1600.0,12.0,4.1,70.0,59.199999999999996,90.0
Bedrog,Zeeland (PV),2019,140880,140880,2115.0,16.0,5.5,80.0,34.2,120.0
Bedrog,Zeeland (PV),2020,140884,140884,2445.0,17.0,6.300000000000001,70.0,28.9,130.0
Bedrog,Zuid-Holland (PV),2010,140800,140800,11610.0,4.0,3.3,3800.0,191.8,5040.0
Bedrog,Zuid-Holland (PV),2011,140804,140804,11000.0,4.0,3.1,3280.0,179.1,4310.0
Bedrog,Zuid-Holland (PV),2012,140808,140808,12070.0,4.0,3.4,3500.0,176.0,4460.0
Bedrog,Zuid-Holland (PV),2013,140812,140812,9690.0,4.0,2.7,3100.0,177.7,4055.0
Bedrog,Zuid-Holland (PV),2014,140816,140816,8880.0,4.0,2.4,2560.0,166.70000000000002,3430.0
Bedrog,Zuid-Holland (PV),2015,140820,140820,16105.0,7.0,4.4,1335.0,128.0,1805.0
Bedrog,Zuid-Holland (PV),2016,140824,140824,18630.0,8.0,5.2,720.0,35.3,980.0
Bedrog,Zuid-Holland (PV),2017,140828,140828,16790.0,8.0,4.6000000000000005,1030.0,36.5,1275.0
Bedrog,Zuid-Holland (PV),2018,140832,140832,17210.0,9.0,4.6,715.0,30.200000000000003,885.0
Bedrog,Zuid-Holland (PV),2019,140836,140836,22490.0,12.0,6.1,830.0,26.799999999999997,1130.0
Bedrog,Zuid-Holland (PV),2020,140840,140840,26000.0,13.0,7.0,505.0,13.4,1025.0
